Pol Capt-Precinct,81.65,40,80.61,22.5,80.81,26,101.30%
Pol Comms Dispatcher I,25.12,74.23,24.47,31.36,24.97,64.8,102.63%
Pol Comms Dispatcher II,30.2,92.93,29.82,98,30.12,93.97,101.26%
Pol Comms Dispatcher III,33.99,102.14,33.62,55.8,33.84,82.83,101.12%
Pol Comms Dispatcher Supv,40,28,40,28,40,28,100%
"Pol Comms Dispatcher,Chief",37.4,45.25,37.73,126.5,37.51,72.33,99.12%
Pol Data Tech,24.85,106.1,25.06,69,24.87,102.87,99.18%
"Pol Data Tech,Sr",26.55,152,26.55,59,26.55,138.71,100%
Pol Lieut,62.84,90,65.36,99,65.11,98.12,96.15%
Pol Ofcr,39.14,39.87,38.45,36.59,38.52,36.91,101.78%
Pol Ofcr- Student,34.09,1.44,33.36,5.39,33.53,4.43,102.19%
Pol Ofcr-Academy Instructor,45.57,124,44.44,87.6,44.51,89.88,102.54%
Pol Ofcr-Canine,45.98,68,45.47,86.5,45.51,85.08,101.12%
Pol Ofcr-Detective,44.55,110.1,44.96,120.83,44.85,117.99,99.10%
Pol Ofcr-Detective-Bomb Squad,47.18,112,47.5,150.6,47.45,144.17,99.32%
Pol Ofcr-Detective-Homicide,45.17,57,46.33,113.75,46.2,107.44,97.51%
Pol Ofcr-DWI-Am/Pm Enf,44.35,92.25,44.22,121,44.25,114.24,100.31%
Pol Ofcr-Hostage Neg-Patrl,45.17,124.5,45.32,81.64,45.29,88.23,99.68%
Pol Ofcr-Motorcycle,45.57,109,45.2,168.46,45.21,166.41,100.83%
Pol Ofcr-Non Patrol,44.15,45.5,43.55,40.75,43.75,42.33,101.38%
Pol Ofcr-Patrl,43.91,99.37,44.14,116.31,44.11,113.87,99.49%
Pol Recruit,25.98,1,25.98,2,25.98,1.93,100%
Pol Sgt-Detective,51.53,72.63,51.52,76.93,51.52,76.03,100.01%
Pol Sgt-Patrl,51.98,96.88,52.14,89.03,52.13,89.81,99.69%
Pool Maint Wkr,25.54,102.33,25.54,202.17,25.54,168.89,100%
Prgm Intake Rep,26.46,73.18,26.42,112.8,26.45,82.18,100.13%
Prjt Fund&Agreemts Coord,35.85,113,36.3,306,35.96,161.25,98.75%
"Prjt Fund&Agreemts Coord,Sr",39.96,66,39.96,85.67,39.96,75.83,100%
Prob Counslr I,36.07,140.75,35.07,92,35.64,119.86,102.85%
Prob Counslr II,39.36,78.33,38.76,58.71,38.94,64.6,101.54%
Prob Counslr-Asg Pers Recog,34.23,81.8,34.99,229,34.52,137,97.83%
Property Mgmt Spec,45.51,89.33,44.71,51,45.19,74,101.79%
Prot&Cntrl Elctn II,48.54,136,48.54,79.67,48.54,85.3,100%
Publc Ed Prgm Spec,31.16,114.43,31.16,63,31.16,99,100%
Publc Ed Prgm Supv,39.2,51,39.2,76,39.2,63.5,100%
"Publc Relations Spec,Sr",35.66,73.5,36.07,63,35.84,69,98.85%
"Pwr Anlyst,Sr",43.94,23.8,45.25,92,44.32,43.29,97.11%
Pwr Dispatcher,49.84,85,49.63,67.88,49.67,71.3,100.42%
"Pwr Dispatcher,Asst",40.36,7,39.33,2,39.59,3.25,102.63%
Pwr Marketer,57.53,114.67,51.83,89.4,52.78,93.61,111%
Pwr Structs Mechanic,35.88,22.5,35.88,126.82,35.88,110.77,100%
Pwr Structs Mechanic CC,41.14,123,41.14,53.2,41.14,64.83,100%
Radio Dispatcher,24.35,113.22,24.35,56,24.35,102.82,100%
"Real Property Agent,Sr",44.84,106.78,45.02,95.67,44.93,101.22,99.61%
Rec Attendant,16.76,81.65,16.45,112.86,16.6,97.63,101.87%
Rec Cntr Coord,32.2,94.67,31.93,77.88,32.11,88.83,100.87%
"Rec Cntr Coord,Asst",29.54,126.83,29.54,111.75,29.54,120.8,100%
Rec Leader,23.82,64.94,24.28,80.3,24.07,73.56,98.10%
Rec Prgm Coord,33.69,48.5,32.95,74.8,33.16,67.29,102.25%
"Rec Prgm Coord,Sr",36.3,50,36.3,56.17,36.3,54.63,100%
Rec Prgm Spec,28.39,90.39,28.03,42.2,28.31,79.91,101.29%
"Rec Prgm Spec,Sr",31.76,129,31.76,131,31.76,129.8,100%
Registered Nurse Consultant,36.3,60.25,36.3,1,36.3,48.4,100%
Res&Eval Aide,22.77,38,21.78,4.5,22.44,26.83,104.55%
Res&Eval Asst,29.41,141.33,29.41,99,29.41,130.75,100%
Retirement Spec,24.97,16.33,25.28,15,25.05,16,98.79%
Rights-Of-Way Maint Wkr,27.52,216,27.52,144.43,27.52,153.38,100%
Scale Attendant,22.78,78.5,22.78,88.5,22.78,86,100%
Security Ofcr,22.81,114,22.81,137.93,22.81,136.33,100%
Security Prgms Spec,34.94,60,34.94,92,34.94,81.33,100%
Sfty&Hlth Spec,39.2,169,39.2,64,39.2,116.5,100%
"Sfty&Hlth Spec,Sr",42,85.83,40.9,46.78,41.34,62.4,102.69%
Sfty&Hlth Supv,45.51,16,43.88,21.5,44.42,19.67,103.71%
Signal Elctn CC,46.06,239,46.06,37,46.06,138,100%
Signal Elctn V,43.41,62,43.41,119.14,43.41,112,100%
Site Dev Insp,40.74,91,39.63,69.25,40,76.5,102.80%
Social Svcs Aide,19.53,10.67,19.97,17.33,19.67,12.89,97.80%
Solid Wst Fld Rep II,34.1,46,34.1,91.33,34.1,80,100%
"Solid Wst Fld Rep,Lead",37.06,3,37.06,80.5,37.06,65,100%
Sound&Video Equip Tech,32.01,119,32.01,110.17,32.01,111.43,100%
"Stage Tech,Lead",30.22,184.67,30.05,85.86,30.1,115.5,100.56%
StratAdvsr-Audit,52.4,99.14,47.52,10,51.79,88,110.27%
StratAdvsr-Legislative,49.03,116.6,47.99,87.77,48.44,100.3,102.17%
"StratAdvsr1,CSPI&P",41.76,52.4,45.64,61.75,42.87,55.07,91.49%
"StratAdvsr1,Engrng&Plans Rev",41.61,5,46.35,59,44.77,41,89.77%
"StratAdvsr1,Exempt",40.03,35.25,41.3,25.6,40.4,32.41,96.92%
"StratAdvsr1,Fin,Bud,&Actg",46.47,32.5,42.61,53,44.15,44.8,109.05%
"StratAdvsr1,General Govt",42.34,66.89,44.95,46.45,43.78,55.65,94.18%
"StratAdvsr1,Human Svcs",41.72,80,37.36,55,40.63,73.75,111.66%
"StratAdvsr1,Parks&Rec",39.76,68.33,42.38,114,40.81,86.6,93.83%
"StratAdvsr1,Utils",45.13,59,45.37,64.57,45.27,62.25,99.47%
"StratAdvsr1,Utils-BU",43.01,50,48,59,44.67,53,89.62%
